Prefix,Department ID,Department,Description of Asset,Asset Number,SAP No.,Type,Manufacturer/Supplier,Model,Mfg SN,Mfg Year,Est Value,Maintenance Frequency,Require Calibration,Functional Location,Functional Loc. Description,Assign Project,Floor,Prod. Line,Start Date,Due Date,Day Left,Status,Remark,Index
16INJ,88-15ME-16INJ-002,,16 INJECTION,I07090,,MACHINE,MINGXICHINA,H5-C90-2--SC,2021-88242,2021.0,,,,OBSOLETE,,,,,,,,Idle,16 INJECTION,2
16INJ,88-15ME-16INJ-003,,16 INJECTION,I07088,,MACHINE,MINGXICHINA,H5-C90-2--SC,2021-88245,2021.0,,,,OBSOLETE,,,,,,,,Idle,16 INJECTION,3
3VMS,88-15ME-3VMS-001,,3D VIDEO MEASURING SYSTEM,I06071,,MACHINE,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,,Idle,,4
8PSHH,88-15ME-8PSHH-001,,8 POINT SINGLE HEAD HEAT STAKING MACHINE,I05903,,MACHINE,KSONIC,,,,,,,,,,,,,,,Idle,,5
WDF008,88-15ME-WDF008-001,,ACCESSORIES SCREW FIXTURE,,,JIG,,VS-WDF008,WDF20251129-008-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,6
AGP,88-15ME-AGP-001,,AIR GREASE PUMP,,,EQUIPMENT,,,,,,,,,,,,,,,,Idle,,7
WDF003,88-15ME-WDF003-001,,AIRTIGHT TEST FIXTURE 1,,,FIXTURE,,VS-WDF003,WDF20251129-003-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,8
WDF032,88-15ME-WDF032-001,,AIRTIGHT TEST FIXTURE 1,,,FIXTURE,,VS-WDF032,WDF20251129-032-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,9
WDF003,88-15ME-WDF003-002,,AIRTIGHT TEST FIXTURE 2,,,FIXTURE,,VS-WDF003,WDF20251129-003-002,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,10
WDF032,88-15ME-WDF032-002,,AIRTIGHT TEST FIXTURE 2,,,FIXTURE,,VS-WDF032,WDF20251129-032-002,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,11
ALBCO,88-15ME-ALBCO-001,,ALBANY CONVEYOR,I08390,,MACHINE,SYNERGY,,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,12
ACES,88-15ME-ACES-001,,AUTOMATIC CARTON EDGE SEAL,I06354,,MACHINE,DLIS,AT4EL22-3,216003,2021.0,,WEEKLY,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,13
ACES,88-15ME-ACES-002,,AUTOMATIC CARTON EDGE SEAL,I07874,,MACHINE,DLIS,AT4EL22-3,226003,2022.0,,WEEKLY,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,14
ACHS,88-15ME-ACHS-001,,AUTOMATIC CARTON HEAD SEAL,I07873,,MACHINE,DLIS,MSD22-2,221203/201679,2022.0,,WEEKLY,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,15
ACHS,88-15ME-ACHS-002,,AUTOMATIC CARTON HEAD SEAL,I07897,,MACHINE,JTU PTE LTD,YQA-6060,20220105001,2022.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,16
ADM,88-15ME-ADM-001,,AUTOMATIC DISPENSING MACHINE,,,EQUIPMENT,,YQ083A,,,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,,2026-02-21,,,Good,,17
ADM,88-15ME-ADM-002,,AUTOMATIC DISPENSING MACHINE,,,EQUIPMENT,,YQ083A,,,,,,1006-10PE,,,,,2026-02-22,,,Good,,18
ADM,88-15ME-ADM-003,15ME,AUTOMATIC DISPENSING MACHINE,,,EQUIPMENT,,YQ083A,,,,,,1006-10PE,,AIPER,,,2026-02-21,,,Good,,19
AUTNU,88-15ME-AUTNU-001,,AUTOMATIC NUT FEEDER,,,MACHINE,RUNJN/MASAHI,RJ1069-N,,2025.0,,,,,,,,,,,,Idle,,20
AUTSC,88-15ME-AUTSC-001,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,2025.0,,,,,,,,,,,,Idle,,21
AUTSC,88-15ME-AUTSC-002,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,22
AUTSC,88-15ME-AUTSC-003,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,23
AUTSC,88-15ME-AUTSC-004,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,24
AUTSC,88-15ME-AUTSC-005,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,25
AUTSC,88-15ME-AUTSC-006,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,26
AUTSC,88-15ME-AUTSC-007,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,27
AUTSC,88-15ME-AUTSC-008,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,28
AUTSC,88-15ME-AUTSC-009,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,29
AUTSC,88-15ME-AUTSC-010,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,30
AUTSC,88-15ME-AUTSC-011,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,31
AUTSC,88-15ME-AUTSC-012,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,32
AUTSC,88-15ME-AUTSC-013,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,33
AUTSC,88-15ME-AUTSC-014,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,34
AUTSC,88-15ME-AUTSC-015,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,35
AUTSC,88-15ME-AUTSC-016,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,36
AUTSC,88-15ME-AUTSC-017,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,37
AUTSC,88-15ME-AUTSC-018,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,38
AUTSC,88-15ME-AUTSC-019,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,39
AUTSC,88-15ME-AUTSC-020,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,40
AUTSC,88-15ME-AUTSC-021,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,41
AUTSC,88-15ME-AUTSC-022,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,42
AUTSC,88-15ME-AUTSC-023,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,43
AUTSC,88-15ME-AUTSC-024,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,44
AUTSC,88-15ME-AUTSC-025,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,45
AUTSC,88-15ME-AUTSC-026,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,46
AUTSC,88-15ME-AUTSC-027,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,47
AUTSC,88-15ME-AUTSC-028,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,48
AUTSC,88-15ME-AUTSC-029,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,49
AUTSC,88-15ME-AUTSC-030,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,50
AUTSC,88-15ME-AUTSC-031,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,51
AUTSC,88-15ME-AUTSC-032,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,52
AUTSC,88-15ME-AUTSC-033,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,53
AUTSC,88-15ME-AUTSC-034,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,54
AUTSC,88-15ME-AUTSC-035,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,55
AUTSC,88-15ME-AUTSC-036,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,56
AUTSC,88-15ME-AUTSC-037,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,57
AUTSC,88-15ME-AUTSC-038,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,58
AUTSC,88-15ME-AUTSC-039,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,59
AUTSC,88-15ME-AUTSC-040,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,60
AUTSC,88-15ME-AUTSC-041,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,61
AUTSC,88-15ME-AUTSC-042,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,62
AUTSC,88-15ME-AUTSC-043,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,63
AUTSC,88-15ME-AUTSC-044,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,64
AUTSC,88-15ME-AUTSC-045,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,65
AUTSC,88-15ME-AUTSC-046,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,66
AUTSC,88-15ME-AUTSC-047,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,67
AUTSC,88-15ME-AUTSC-048,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,68
AUTSC,88-15ME-AUTSC-049,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,69
AUTSC,88-15ME-AUTSC-050,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,70
AUTSC,88-15ME-AUTSC-051,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,71
AUTSC,88-15ME-AUTSC-052,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,72
AUTSC,88-15ME-AUTSC-053,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,73
AUTSC,88-15ME-AUTSC-054,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,74
AUTSC,88-15ME-AUTSC-055,,AUTOMATIC SCREW FEEDER,,,MACHINE,,,,,,,,,,,,,,,,Idle,,75
ASFAM,88-15ME-ASFAM-001,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,76
ASFAM,88-15ME-ASFAM-002,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,77
ASFAM,88-15ME-ASFAM-003,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,78
ASFAM,88-15ME-ASFAM-004,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,79
ASFAM,88-15ME-ASFAM-005,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,80
ASFAM,88-15ME-ASFAM-006,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,81
ASFAM,88-15ME-ASFAM-007,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,82
ASFAM,88-15ME-ASFAM-008,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,83
ASFAM,88-15ME-ASFAM-009,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,84
ASFAM,88-15ME-ASFAM-010,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,85
ASFAM,88-15ME-ASFAM-011,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,86
ASFAM,88-15ME-ASFAM-012,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,87
ASFAM,88-15ME-ASFAM-013,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,88
ASFAM,88-15ME-ASFAM-014,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,89
ASFAM,88-15ME-ASFAM-015,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,90
ASFAM,88-15ME-ASFAM-016,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,91
ASFAM,88-15ME-ASFAM-017,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,92
ASFAM,88-15ME-ASFAM-018,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,93
ASFAM,88-15ME-ASFAM-019,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,94
ASFAM,88-15ME-ASFAM-020,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,95
ASFAM,88-15ME-ASFAM-021,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,96
ASFAM,88-15ME-ASFAM-022,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,97
ASFAM,88-15ME-ASFAM-023,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,98
ASFAM,88-15ME-ASFAM-024,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,99
ASFAM,88-15ME-ASFAM-025,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,100
ASFAM,88-15ME-ASFAM-026,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,101
ASFAM,88-15ME-ASFAM-027,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,102
ASFAM,88-15ME-ASFAM-028,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,103
ASFAM,88-15ME-ASFAM-029,,AUTOMATIC SCREW FEEDER AUTO MACHINE,,,MACHINE,,,,,,,,,,,,,,,,Idle,,104
AUTSC,88-15ME-AUTSC-056,,AUTOMATIC SCREWING MACHINE,I07381,,MACHINE,EVOLUTION MARKETING,,,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,105
AUTSC,88-15ME-AUTSC-057,,AUTOMATIC SCREWING MACHINE,,,MACHINE,EVOLUTION MARKETING,,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,106
AUTSC,88-15ME-AUTSC-058,,AUTOMATIC SCREWING MACHINE,,,MACHINE,EVOLUTION MARKETING,,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,107
AUTSC,88-15ME-AUTSC-059,,AUTOMATIC SCREWING MACHINE,,,MACHINE,SHENZEN WATERUN TECHNOLOGIES,WT-4221-2Y,20221SF002,2022.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,108
AUTSC,88-15ME-AUTSC-060,,AUTOMATIC SCREWING MACHINE,I08086,,MACHINE,GUANDONG BRADY ROBOT,SC220II,BD0219111252,2021.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,109
AUTSC,88-15ME-AUTSC-061,,AUTOMATIC SCREWING MACHINE,I08081,,MACHINE,GUANDONG BRADY ROBOT,SC220II,BD0220010428,2022.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,110
AUTSC,88-15ME-AUTSC-062,,AUTOMATIC SCREWING MACHINE,I08085,,MACHINE,GUANDONG BRADY ROBOT,SC220II,BD0220010427,2022.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,111
AUTSC,88-15ME-AUTSC-063,,AUTOMATIC SCREWING MACHINE,I08172,,MACHINE,GUANDONG BRADY ROBOT,SC220II,BD0219030109,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,112
AUTSC,88-15ME-AUTSC-064,,AUTOMATIC SCREWING MACHINE,I08077,,MACHINE,GUANDONG BRADY ROBOT,SC220II,BD219111253,2021.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,113
AUTSO,88-15ME-AUTSO-001,,AUTOMATIC SOLDERING MACHINE,I07157,,MACHINE,EVOLUTION MARKETING,SD450II-R,,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,114
AUTSO,88-15ME-AUTSO-002,,AUTOMATIC SOLDERING MACHINE,I08078,,MACHINE,EVOLUTION MARKETING,SD450II-R,BD0121030041,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,115
AUTSO,88-15ME-AUTSO-003,,AUTOMATIC SOLDERING MACHINE,I08079,,MACHINE,EVOLUTION MARKETING,SD450II-R,BD0121030042,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,116
AUTSO,88-15ME-AUTSO-004,,AUTOMATIC SOLDERING MACHINE,I08084,,MACHINE,EVOLUTION MARKETING,SD450II-R,BD0220010240,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,117
AUTSO,88-15ME-AUTSO-005,,AUTOMATIC SOLDERING MACHINE,I08087,,MACHINE,EVOLUTION MARKETING,SD450II-R,BD0121030038,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,118
AIPT,88-15ME-AIPT-010,,BATTERY CAPACITY TESTER - INCOMING BATTERY,14501368,1000007875.0,TESTER,,,,,,,,,,,,,,,,Idle,,119
AIPT,88-15ME-AIPT-001,15ME,N SERIES BATTERY LEVEL TESTER,14501367,NA,TESTER,NA,NA,NA,NA,NA,YEARLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 1,2026-03-02,2027-03-02,337,Good,,120
WDF030,88-15ME-WDF030-001,,BATTERY SCREW FIXTURE,,,JIG,,VS-WDF030,WDF20251129-030-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,121
WDF021,88-15ME-WDF021-001,,CAMERA SCREW FIXTURE,,,FIXTURE,,VS-WDF021,WDF20251129-021-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,122
CASAS,88-15ME-CASAS-001,,CASTER ASSEMBLY MACHINE,I08080,,MACHINE,TCH ENGINEERING,,,,,,,,,,,,,,,Idle,,123
WDF026,88-15ME-WDF026-001,,CHARGE ELECTRODE PRESS FIXTURE,,,FIXTURE,,VS-WDF026,WDF20251129-026-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,124
WDF027,88-15ME-WDF027-001,,CHARGE ELECTRODE SCREW FIXTURE,,,JIG,,VS-WDF027,WDF20251129-027-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,125
WDF038,88-15ME-WDF038-001,,CHARGING COVER SCREW FIXTURE,,,JIG,,VS-WDF038,WDF20251129-038-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,126
WDF002,88-15ME-WDF002-001,,CHARGING WIRE SENSOR SCREW FIXTURE,,,FIXTURE,,VS-WDF002,WDF20251129-002-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,127
WDF019,88-15ME-WDF019-001,,CHARGING WIRE SENSOR SCREW FIXTURE,,,FIXTURE,,VS-WDF019,WDF20251129-019-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,128
CTAH,88-15ME-CTAH-001,,CONSTANT TEMPERATURE AND HUMIDITY,I06208,,MACHINE,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,,Idle,,129
WDF020,88-15ME-WDF020-001,,CORE CIRCUIT BOARD SCREW FIXTURE,,,JIG,,VS-WDF020,WDF20251129-020-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,130
C1PS,88-15ME-C1PS-001,,CUSTOMIZE 14 POINTS SINGLE,I06192,,MACHINE,KSONIC,,,,,,,,,,,,,,,Idle,,131
C2PD,88-15ME-C2PD-001,,CUSTOMIZE 20 POINTS DOUBLE,I06193,,MACHINE,KSONIC,,,,,,,,,,,,,,,Idle,,132
CUTPC,88-15ME-CUTPC-001,,CUTTING PCB MACHINE,I06191,,MACHINE,G-TIME TECHNOLOGY,,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,133
DDCO3,88-15ME-DDCO3-001,,DESKTOP DELL COMPUTER OPTIPLEX 3000MT I3,I08056,,EQUIPMENT,LCO IT,,,,,,,,,,,,,,,Idle,,134
DOULA,88-15ME-DOULA-001,,DOUBLE LAYER CONVEYOR - SH4,I05990,,MACHINE,SYNERGY,SH4-2 01-600-450-U 150-N,SH21002,2021.0,,,,OBSOLETE,,,,,,,,Idle,TRANSFER,135
DOULA,88-15ME-DOULA-002,,DOUBLE LAYER CONVEYOR - SH4,I05991,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,136
DOULA,88-15ME-DOULA-003,,DOUBLE LAYER CONVEYOR - SH4,I07382,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,137
DOULA,88-15ME-DOULA-004,,DOUBLE LAYER CONVEYOR - SH4,I08251,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,138
DOULA,88-15ME-DOULA-005,,DOUBLE LAYER CONVEYOR - SH4,I08252,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,139
DOULA,88-15ME-DOULA-006,,DOUBLE LAYER CONVEYOR - SH4,I07947,,MACHINE,SYNERGY,SH4-2 1-600-450E 120-N-5R,SH21307/SH21310,2021.0,,,,OBSOLETE,,,,,,,,Idle,TRANSFER,140
DOULA,88-15ME-DOULA-007,,DOUBLE LAYER CONVEYOR - SH4,I07878,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,141
DOULA,88-15ME-DOULA-008,,DOUBLE LAYER CONVEYOR - SH4,I07879,,MACHINE,SYNERGY,SH4-2 1-600-450E 120-N-5R,SH21280/SH21285,2021.0,,,,OBSOLETE,,,,,,,,Idle,TRANSFER,142
DOULA,88-15ME-DOULA-009,,DOUBLE LAYER CONVEYOR - SH4,I07880,,MACHINE,SYNERGY,,,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,143
DOULA,88-15ME-DOULA-010,,DOUBLE LAYER CONVEYOR - SH4,I07877,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,144
DOULA,88-15ME-DOULA-011,,DOUBLE LAYER CONVEYOR - SH4,I07948,,MACHINE,SYNERGY,,,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,145
DOULA,88-15ME-DOULA-012,,DOUBLE LAYER CONVEYOR - SH4,I07949,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,146
DSDJA,88-15ME-DSDJA-001,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I06861,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0217110444,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,147
DSDJA,88-15ME-DSDJA-002,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07358,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221080417,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,148
DSDJA,88-15ME-DSDJA-003,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07517,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD02210800414,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,149
DSDJA,88-15ME-DSDJA-004,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07360,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD02210800416,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,150
DSDJA,88-15ME-DSDJA-005,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I06861,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0217110444,2021.0,,MONTHLY,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,2026-02-16,2026-03-18,-12,Expired,UPDATE NEW JIG,151
DSDJA,88-15ME-DSDJA-006,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07681,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221120781,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,152
DSDJA,88-15ME-DSDJA-007,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07680,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221120782,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,153
